temperature,moyenne_aimantation,erreur_aimantation,t_corr_aimantation,moyenne_energie,erreur_energie,t_corr_energie
4.0,-0.645355224609375,0.6804338296666241,2.970997796413748,-570.8436889648438,0.3192524783089215,0.6956477583727645
3.9,-0.07781982421875,0.7012609747013792,2.950042501437817,-588.7784423828125,0.32788377481528774,0.7269629016664929
3.8,-0.80120849609375,0.737010365863514,3.109750105824905,-607.77880859375,0.3293123510345941,0.738378149452922
3.6999999999999997,2.936431884765625,0.8431651561882754,3.8937445856057726,-629.4401245117188,0.3142003024913081,0.5937864495890826
3.5999999999999996,-0.878509521484375,0.9463129917336542,4.596755386497605,-651.9622802734375,0.35569374360505335,0.8590475948389751
3.4999999999999996,-0.1829833984375,1.119668332253944,6.079112663232253,-676.5199584960938,0.3875711784598683,1.0646548739527675
3.3999999999999995,0.163818359375,1.08582284175476,5.108498641933152,-702.0262451171875,0.37911626887830047,0.9816251560278251
3.2999999999999994,0.363372802734375,1.3145159979772119,6.871717278776552,-730.8881225585938,0.4621307663914067,1.6370092861695649
3.1999999999999993,0.65887451171875,1.52929823431734,8.180741186493783,-763.0858154296875,0.5114559641440892,2.0288613228631163
3.099999999999999,0.374359130859375,1.924642012152655,11.646300772990838,-798.4111938476562,0.48111139275774584,1.6243522703196387
2.999999999999999,-1.79034423828125,2.3603574015065925,14.238525976922372,-837.2982788085938,0.4955927918856303,1.6531529284405186
2.899999999999999,1.8782958984375,2.8067067767788627,16.824410575638016,-881.0084228515625,0.5880238181425438,2.40761786214033
2.799999999999999,7.943023681640625,3.61879197693401,23.40737654190507,-929.6640014648438,0.58775319529543,2.2340763816652216
2.699999999999999,-4.8006591796875,5.570258102209975,39.056405660035125,-986.1530151367188,0.7945433843238325,4.181665867748561
2.5999999999999988,5.13726806640625,7.935856205597066,55.01360240228308,-1052.9163818359375,0.9641790953573919,5.54881154358299
2.4999999999999987,5.059539794921875,12.719703380238872,83.16313608483716,-1134.0226440429688,1.4592981486230951,11.614462232056168
2.3999999999999986,27.726776123046875,29.035710844677602,202.20030424626086,-1238.9884033203125,2.4814505678992207,27.014269087407676
2.2999999999999985,103.81878662109375,66.72081584596546,402.6791234026042,-1405.244384765625,4.262314554263715,58.18542762467254
2.1999999999999984,-648.1300659179688,58.10016083336442,493.53616754798,-1579.0922241210938,2.933168152158267,37.74370968574293
2.0999999999999983,888.9193115234375,1.0455655355192393,17.248727567971454,-1701.1411743164062,1.0085226025716572,7.147582487591839
1.9999999999999982,933.3070983886719,0.4457432340122564,7.990874964455205,-1787.4619750976562,0.6402636980759832,4.032663831225919
1.8999999999999981,960.909912109375,0.2447235704531287,4.49676476213652,-1852.9878540039062,0.4674050882258122,2.8803564974471962
1.799999999999998,979.972412109375,0.1406320876230984,2.6429579459221535,-1904.164306640625,0.3204733990522916,1.8186324315818752
1.699999999999998,993.4356994628906,0.10295752250961965,2.4081040874801576,-1943.9361572265625,0.25474959712407624,1.5959591205432186
1.5999999999999979,1003.1847839355469,0.055642806057569924,0.9458642672030657,-1974.6759033203125,0.16769306502049988,0.8551457271730922
1.4999999999999978,1010.1444091796875,0.052587284956588994,1.6970361107734675,-1997.8515014648438,0.1671527516257067,1.5259125234057986
1.3999999999999977,1015.1359252929688,0.03503298721828452,1.1444993089936757,-2015.1853637695312,0.11948207646550499,1.0912643786500869
1.2999999999999976,1018.6829223632812,0.0205924420886322,0.5549160275751479,-2027.8955688476562,0.07387562160480415,0.5447633945726491
1.1999999999999975,1020.9525451660156,0.018097364934454102,0.9840373923830823,-2036.3203735351562,0.06730236668502869,1.0004580972772068
1.0999999999999974,1022.4088745117188,0.011548145172299695,0.7279545490959491,-2041.8197631835938,0.04353858462181679,0.7104249765461943
0.9999999999999973,1023.2671508789062,0.007965344937171881,0.8062313864140369,-2045.1277465820312,0.02998550989603272,0.7444354112323199
